,resolution,codec,sampling,framerate,128GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 11
91,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,30p,84 min,16:9,10 bit,200 Mb/s,MOV,SD,,
92,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,25p,84 min,16:9,10 bit,200 Mb/s,MOV,SD,,
93,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,24p,84 min,16:9,10 bit,200 Mb/s,MOV,SD,,
94,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,60p,166 min,16:9,10 bit,100 Mb/s,MOV,SD,,
95,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,50p,166 min,16:9,10 bit,100 Mb/s,MOV,SD,,
96,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,30p,166 min,16:9,10 bit,100 Mb/s,MOV,SD,,
97,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,25p,166 min,16:9,10 bit,100 Mb/s,MOV,SD,,
98,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,24p,166 min,16:9,10 bit,100 Mb/s,MOV,SD,,
99,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,180p,86 min,16:9,8 bit,100 Mb/s,MOV,SD,,
100,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,150p,86 min,16:9,8 bit,100 Mb/s,MOV,SD,,
101,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,120p,86 min,16:9,8 bit,100 Mb/s,MOV,SD,,
102,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,100p,86 min,16:9,8 bit,100 Mb/s,MOV,SD,,
103,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,60p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
104,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,50p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
105,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,30p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
106,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,25p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
107,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,24p,170 min,16:9,8 bit,100 Mb/s,MOV,SD,,
108,HD (1920 x 1080),AVCHD,4:2:0,60p,598 min,16:9,8 bit,28 Mb/s,MP4,SD,,
109,HD (1920 x 1080),AVCHD,4:2:0,50p,598 min,16:9,8 bit,28 Mb/s,MP4,SD,,
110,HD (1920 x 1080),AVCHD,4:2:0,60i,728 min,16:9,8 bit,24 Mb/s,MP4,SD,,
111,HD (1920 x 1080),AVCHD,4:2:0,50i,728 min,16:9,8 bit,24 Mb/s,MP4,SD,,
112,HD (1920 x 1080),AVCHD,4:2:0,24p,728 min,16:9,8 bit,24 Mb/s,MP4,SD,,
113,HD (1920 x 1080),AVCHD,4:2:0,60i,986 min,16:9,8 bit,17 Mb/s,MP4,SD,,
114,HD (1920 x 1080),AVCHD,4:2:0,50i,986 min,16:9,8 bit,17 Mb/s,MP4,SD,,
